skill_name,cluster_id
liaise with suppliers of sporting equipment,8917
frostbite (digital game creation systems),8939
design user interface,10484
post-process of fish,8961
genomics,6550
ensure health and safety of customers,11697
produce content for tourism brochures,9016
make legislation transparent for users of social services,9025
state aid regulations,9059
develop beverage manufacturing procedures,2078
perform internal investigations,7772
rebuff tyre,9484
operate cranes,310
financial jurisdiction,9175
manage art facilities staff,533
mount photovoltaic panels,1951
transcribe texts,11323
create patterns for textile products,4385
football,8475
asphalt mixes,6947
customize diets to animals,9233
perform chiropractic examinations,1403
repair household appliances,9276
inspect compliance with hazardous waste regulations,9281
perform data cleansing,9368
bring out performers’ artistic potential,10641
ict network security risks,1225
analyse decentralised applications,10972
present drinks menu,9366
pump paint,9157
prepare equipment for harvest,9405
anodising process,450
cover v-belts with fabric,8236
oversee assembly operations,2932
maintain industrial ovens,929
industrial engineering,12125
apply precision metalworking techniques,9490
provide feedback on patient's communication style,10291
disorders of vital functions,11783
oracle weblogic,9551
adapt to changes in forestry,9560
transfer designs on workpiece,9574
coat printed circuit board,11101
heat jewellery metals,1365
internet of things,9695
teach university class,8515
ecosystem management,9654
perform basket weaving,9591
develop methods for choreographic integration,9866
organise participation in local or international events,6959
interact with fellow actors,10846
operate a heat treatment process,8755
draw up artistic production,9750
forensic psychiatry,9752
link data between all inland business units,7655
types of audiological equipment,9791
"apply knowledge of science, technology and engineering",9827
analyse work-related written reports,9818
manage footwear quality systems,827
outsourcing model,1600
estimate budget for interior design plans,9879
move soil,9901
anatomy of animals,9915
operate tower crane,2610
coordinate fish handling operations,7701
agricultural equipment,1125
repair pipelines,8804
influence legislators,659
read standard blueprints,10009
install fire sprinklers,10025
determine crane load,11953
work independently in forestry services,10048
advise customers on using confectionary products,10073
implement quality control procedures for biomedical tests,10440
provide information to passengers,863
identify information needs of young people,10435
provide financial product information,10127
arrange ordering of products for customers,10479
data protection,11702
archive scientific documentation,11067
perform dental clinical examination,10701
use jewellery equipment,10205
assemble prefabricated furniture,7911
store digital data and systems,10090
apply colouring recipes,10621
develop food scanner devices,9054
footwear finishing techniques,9474
sell books,1438
support community-based tourism,1155
provide technical expertise,10337
provide directions to guests,10363
define integration strategy,10463
undertake genetic risk assessment,8401
handle explosives,101
cosmetic dental procedures,10408
understand written romani,937
carry out quality control in microbiology laboratories,9753
coordinate technical teams in artistic productions,1329
write work-related reports,999
manufacturing industrial braids,3593
postediting,10495
monitor coke quenching,9259
use personal protection equipment,1038
apply haccp,7497
test hardware,2334
collect client fitness information,10588
measure company's sustainability performance,10290
dive with scuba equipment,10613
inspect material,8386
create a crowdfunding campaign,9224
manage communicable disease,606
assess production needs to plan a production schedule,10772
information security strategy,8298
access to documents regulations,12105
ride horses,89
maintain physical fitness,10756
work closely with news teams,7423
organise tree plantations,10477
modern power signalling systems,10867
monitor the process of wine production,567
brief staff on daily menu,10895
select music,11031
printing media,1197
apply liquid chromatography,8687
rigging terminology,7532
monitor aviation meteorology,452
calculate betting target odds,10941
create thematic maps,8806
personal development,11553
adapt to artists' creative demands,7260
maintain broadcast equipment,11001
install handrail,8619
promote company,10064
advise on environmental alterations,9219
complete report sheets of activity,6256
apply quality standards in youth services,11071
human physiology,11163
maintain ict identity management,6142
high-performance liquid chromatography,11135
manufacture ornamental braided cord,10927
drug administration regulations,11146
identify archaeological finds,327
business analysis,10334
calculate allowances for shrinkage in casting processes,11287
develop inclusive communication material,11223
develop software prototype,10626
ensure vehicles are equipped with accessibility equipment,11254
report misfires,7153
advise horse owners on farriery requirements,8789
build scaffolding,10460
work in professional sport environment,11311
assist in the placement of gravestones,12047
communicate health and safety measures,11347
operate metal heating equipment,10034
maintain museum records,11942
record drilling,8777
advise politicians on electoral procedures,10877
ict networking hardware,11421
teach secondary education class content,961
manual cutting processes for leather,11467
provide emergency advice,1328
promote gender equality in business contexts,1716
analyse a script,10452
manage disaster recovery plans,11521
legislation procedure,9771
tend cocoa cleaning machines,713
think proactively to secure sales,9052
reforestation,9943
property law,11621
test power electronics,11617
ethnolinguistics,11679
implement efficiency plans for logistics operations,9739
carry out artificial insemination of livestock,10638
clean public furniture,11684
understand written welsh,1756
assemble instrumentation equipment,416
check film reels,353
pick orders of agricultural products,11765
medicines for self-medication,1056
adjust cut sizes,10095
ensure safety in international aviation,7904
test moisture content,9181
deputise for the mine manager,6151
present menus,11855
practise extreme sports,11863
geographical routes,7371
analyse recorded sources,9755
create cad drawings,579
perform gravity measurements,11968
manage ethics issues in the food industry,11017
order supplies,792
financial engineering,6645
synthesise research publications,9213
work in drilling teams,2651
support gifted students,10724
develop contingency plans for emergencies,8394
maintain hatchery equipment,3624
monitor aquaculture stock health standards,12058
analyse claim files,11243
create wigs,1237
operate solar thermal energy systems for hot water and heating,12101
meteorology,6848
evaluate practice in psychotherapy,8635
create content title,10847
load cargo,1156
select material to process,7977
implement short term objectives,627
collect items for laundry service,7742
provide athletic equipment to clients,7802
otorhinolaryngologic conditions,12041
store wine,11283
manage emergency situations on board,12106
understand spoken romanian,426
prepare doses of medication according to patient needs,8799
write hindi,78
create cutting plan,7953
participate in rabbinical court proceedings,6206
disseminate information on tax legislation,6212
read zoo reports,9274
schoology,6165
think proactively,8726
write czech,1461
escort defendants,6247
provide information on geothermal heat pumps,10870
liaise with engineers,784
examine trusts,10474
financial forecasting,9067
types of strabismus,9488
stop speeding vehicles,6296
maintain sound equipment,253
put adhesive on plies,9328
carry out auditions,1307
test oxygen purity,9268
maintain machinery,2901
communicate with customers,332
advise on hair style,864
apply psychological intervention strategies,859
offset printing,282
airport environmental regulations,1219
types of cooktops,11625
media law,9389
perform cosmetic procedures,155
apply digital mapping,8241
assist scientific research,292
tend spice mixing machine,6408
perform eye surgery,6418
advise on funeral services,2592
eye protection regulations,6172
supervise sales activities,11695
operate hydraulic jack lift,8983
write danish,1280
write marathi,979
perform property market research,10792
radiopharmaceuticals,835
act for an audience,2178
curl hair,7189
types of piping,711
study fish migration,10822
transport topography,6541
coordinate airport environmental policies,1219
tend laser marking machine,11097
implement sustainable procurement,6636
coordinate rail services,11873
check architectural drawings on site,6564
monitor event activities,9935
review construction plans authorisations,6582
helminthology,7709
ensure infrastructure accessibility,10107
forensic anthropology,62
manage engine-room resources,6612
spiritualism,10862
monitor quality of confectionery products,6633
apply rubber sealant,9738
binding technologies,11775
document project progress,11324
apply immigration law,955
comply with wildlife hazard management programmes,9568
integrated food-energy systems,6691
prepare pieces for joining,6695
blockchain openness,11251
air transport law,11519
nutrients of confectionery,6709
plan musical performances,2400
complete evaluation forms of calls,6731
create musical instrument parts,585
test microelectronics,400
primitive technology,6759
manage email hosting service,8507
network management system tools,6777
cut gem stones,12120
develop environmental remediation strategies,401
demining operations,6807
perform granulation equipment transfer,8427
drive heavy duty trucks for snow removal,6808
consult shipping rates,7832
applied music therapy,21
promote sports organisation,647
tend electroplating machine,105
assist people trapped in confined spaces,3375
monitor service users' health,9185
perform venepuncture procedures,466
gamemaker studio,8523
interrogate individuals,6883
examine merchandise,8087
slovak,2248
manage government funding,252
lipspeaking,10521
consultation methods,349
identify if a company is a going concern,7175
veterinary terminology,10186
ajax framework,9944
present items during auction,10091
secure working area,9843
plan music therapy sessions,298
treat patients' nails,2107
fertigation,12134
fill kettle,7468
"install heating, ventilation, air conditioning and refrigeration ducts",6996
measure trees,10388
promote evaluation capacity development,8252
furniture trends,7026
biomass conversion,11408
provide emergency training,10859
teach speed reading,8824
excavate fossils,305
breathing techniques,7058
history of literature,7071
fossil fuels,7074
handle tenant changeover,9033
develop transportation cost metrics,832
screen television series pilots,8191
make film shooting schedule,9303
control tree diseases,365
inspect pipelines,11476
manufacturer's recommended price,10455
plan youth programmes,924
dies,7199
manage recycling program budget,8551
ceramic ware,5643
create advertisements,11404
micromechatronic engineering,11202
battery components,10277
cold chain,9479
supervise cage net systems,7206
comply with veterinary inspection standards,11940
ict market,8088
develop opportunities for progression in sport,11567
motivate employees,7710
seek innovation in current practices,8583
adjust the work during the creative process,6438
carry out cleaning of road drains,10879
build machines,7277
agile development,7157
cope with uncertainty,10683
purchase automotive equipment,7296
apply specialised veterinary knowledge,11393
support social service users' positiveness,7318
make critical decisions regarding the processing of food,11428
create script for artistic production,7334
cylindrical grinder parts,10746
assist with funeral planning,2592
animate in the outdoors,7399
use ict hardware,6862
phoniatrics,7363
fix knife blades,11133
take measures against flammability,5581
use concurrent programming,9400
plant harvest methods,7407
use physiotherapy for treatment of animals,746
maintain nets,11725
understand written irish,910
security threats,571
liaise with industry experts,1576
manage office appliance requirements,7449
create digital files,9933
university procedures,7447
farrier industry,7156
monitor electric generators,7478
literary criticism,331
prepare raw materials,10926
manage distribution channels,901
provide power distribution,11721
monitor cigarette stamp machine,10554
roasting coffee,7039
psychiatric diagnostics,2372
parimutuel betting,7542
plan event marketing for promotional campaigns,7484
debug software,10543
design beer recipes,8995
file documents,7567
adapt pilates exercises,10763
security in industrial buildings,467
understand the animal's situation,7594
young horses training,1048
oversee all travel arrangements,9446
consider constraints in maritime shipping,8744
carry out pre-flight duties,9808
lead board meetings,11435
perform oil clarification with boiling methods,6234
attach roofing cover,7644
manage manufacturing documentation,7649
types of trams,11361
define the visual universe of your creation,7745
surveying methods,1152
process incoming electrical supplies,2191
develop physiotherapy services,157
order optical supplies,10658
maintain landscape site,7571
sport psychology,7721
assess potential gas yield,7711
operate testbeds,7096
conduct gambling games,1421
eu law,10671
manage production changeovers,7769
interact verbally in german,376
handle delivered packages,8665
operational research,8941
analyse big data,10137
perform transcranial magnetic stimulation,8343
mathematical physics,10389
calculate needs for construction supplies,10593
promote homeopathy,12078
follow a tech pack,7667
inspect industrial equipment,1382
advise  on maintenance of parquet floors,7831
operate gas turbines,7851
assist customers in selecting music and video recordings,9957
use presentation software,10430
cast cell covers,7903
manage visitor flows in natural protected areas,7896
sell services,11805
carry out physical training,7020
analyse market financial trends,7913
maintain moulds,9477
advise guests on menus for special events,6216
food fraud,11959
perform maintenance work on rail tracks,119
yeast fermentation principles,7951
conduct public presentations,10696
keep markings legible,10385
develop product policies,7757
plan supply chain logistics for footwear and leather goods,10399
print stripping,6650
test absorbency,10059
renew artistic practice,8002
risks associated with undertaking fishing operations,11636
industrial research and development,8019
keep up with language evolution,8042
persuade clients with alternatives,7526
organism taxonomy,7049
plan logging operations,8047
types of bleach,7624
prevent casting adhesion,8077
perform import of commodities,134
maintain telephony system,8000
maintain computer hardware,8095
c++,10514
advertise travel insurance,8115
manage online communications,8325
ict system integration,9545
flexography,8519
test procedures in electricity transmission,8356
prepare wall for wallpaper,9724
assess operating cost,8154
revise quality control systems documentation,8165
ict sales methodologies,8265
repair furniture parts,8174
pleat fabrics,8183
milk animals,8192
install frameless glass,326
demonstrate emergency procedures,994
perform brand analysis,9666
support children's wellbeing,10210
process latex mixtures,53
cad for garment manufacturing,4057
ensure escape routes,8365
perform oral health diagnosis,8259
set up portable field transmission equipment,8283
purchase car materials,8273
provide treatment strategies for challenges to human health,8281
ensure compliance with accounting conventions,11084
types of membranes,11731
manage athletes,11753
abrasive blasting processes,476
arrange security of goods for auction,7395
extract products from coquilles,8345
manage air navigation services,7525
install spring suspension,6547
food engineering,894
read 3d displays,6273
operate bevelling machine,8389
follow up pipeline integrity management priorities,10919
cytopathology,10194
fundamental analysis,8411
negotiate rights of use,7353
compare survey computations,7246
store raw food materials,8422
perform body searches,8491
deliver aquatic products to customer specifications,8530
telecom regulations,8445
perform antepartum fetal monitoring,8376
create definitions,8521
nursing science,8470
tune keyboard music instruments,9462
liaise with typists,8499
maintain professional administration,8500
understand written berber,1380
maintain vehicle spare parts,9820
infection control,11374
spray slabs,8528
spiral development,8940
monitor oil blending process,8544
network within the writing industry,8559
assist children with homework,7845
counsel on nutrition and its impact on oral health,8569
advise on insurance policies,1295
oracle application development framework,7030
supervise the maintenance of military equipment,8277
take pharmaceutical inventory,8307
budget for financial needs,8609
organise compositions,11575
clean household linens,9417
operate climate control,6127
safe street sweeping procedures in traffic,8641
multi-professional cooperation in health care,10497
holding company activities,8664
communicate vessel requirements,8668
administer drugs to facilitate breeding,10739
raise hens,8681
aquatic ecology,99
toys and games industry,7321
techniques for doll creation,461
fill nail holes in wood planks,6804
convert different audiovisual formats,11172
conduct workplace audits,8730
features of sporting equipment,1510
prospect new customers,8741
customise project methodologies,8745
organise operations of residential care services,8763
manage spat collection equipment,8765
rope manipulation,160
collect geological data,620
preserve samples,5611
receive appropriate permissions for use of recorded audiovisual examples,8819
demonstrate trustworthiness,11645
manage ict virtualisation environments,8753
cadastral taxation,9037
islamic studies,8834
monte carlo simulation,11608
montessori learning equipment,10914
advise on corporate social responsibility,10794
ensure aircraft compliance with regulation,783
perform stunts,8969
revise legal documents,11613
finish medical devices,8886
organise property viewing,6213
follow safety precautions in a gaming room,8901
ict infrastructure,10821
take pictures,8964
psychological effects of war,8287
implement risk management for outdoors,4469
pharmacy law,8942
ensure compliance with types of weapons,8396
comply with regulations,725
help set rehearsal schedule,8404
ensure health and safety in manufacturing,1036
operate sugar washing systems,7786
use digital illustration techniques,1628
manage ict legacy implication,9189
tune stringed musical instruments,9007
surveillance methods,9021
apply fishing maneuvres,9926
conduct psychological research,9035
cooperate with professionals,9039
design medical devices,885
develop artistic project budgets,10300
process data from railway control rooms,9775
imprint visionary aspirations into the business management,9139
manage processes,11808
inspect cylinders,10969
conduct neurological examination,1244
comply with regulations related to export in different countries,11565
check shipments,11488
exercise stewardship,9122
analyse legal evidence,9468
pay attention to safety while performing forestry operations,9589
monitor rail pickup machine,11548
use of specialised instruments in otorhinolaryngology,9153
evaluate art quality,9179
write charity grant proposals,9187
apply military aviation regulations,11035
markets for modes of transport,7422
deliver online training,6949
extract juices,10410
perform selective demolition,892
unity (digital game creation systems),9227
assemble telecommunications devices,6554
operate life-saving appliances,9245
observe new developments in foreign countries,9287
work in a rail transport team,10896
maintain ground,9194
abbyy finereader,8535
textile industry,510
vyper,10679
ict help platforms,8449
operate digital printers,9302
maintain stage weapons,257
microbiology-bacteriology,9783
study groundwater,10975
install electricity meter,1730
check ride communications,9415
winery production process,10197
domestic heating systems,12056
combination of flavours,9387
light auxiliary gas jets,8071
rig automated lights,11382
advise on loans of art work for exhibitions,9412
dog behaviour,9392
inspect rail flaws,10257
tend bleacher,10365
consult with production director,127
perform wagon coupling,9149
lay tiles,10207
develop a pedagogical concept,10413
energy performance of buildings,7593
signs of animal illness,9457
conduct research on speech-related topics,10765
grain dehydration recipes,9495
transfer patients to and from ambulance vehicles,9510
handle intermodal equipment,9513
promote the safeguarding of young people,9500
revise drafts made by managers,9508
carry out project activities,6938
development delays,9595
safeguard biodiversity,10358
attach protective attachments to timber piles,9555
