name,openalex_id,works_count,cited_by_count,last_known_institution
Kanokwan Chantawee,A5014339623,3,45,Thammasat University
Pichaya Mekcha,A5014734005,3,22,Thammasat University
Napat Yodpinij,A5014884025,3,10,Thammasat University
ไพรัช อุศุภรัตน์,A5015108961,3,0,Thammasat University
Sirimontree,A5015286340,3,5,Thammasat University
Somjai Phagaphasvivat,A5015312722,3,0,Thammasat University
Marissa Phongsirikul,A5015402149,3,48,Thammasat University
S. Rattananon,A5015443215,3,74,Thammasat University
Ploenpit Tantajina,A5015577008,3,7,Thammasat University
Nalinee Netithammakorn,A5015609302,3,8,Thammasat University
N. Jaiboon-Muangsin,A5015909377,3,2,Thammasat University
Guntaga Logavitool,A5016009757,3,5,Thammasat University
Kollawat Jaruniphakul,A5016129094,3,4,Mahidol University
Sukrittaya Jukping,A5016281536,3,1,Thammasat University
Chananes Akjiratikarl,A5016317421,3,291,Thammasat University
Kriangchai Yaoyuenyong,A5016458817,3,22,Kasetsart University
Pornprapa Srimorkun,A5016800139,3,0,Thammasat University
Decha Buranajitpirom,A5017031456,3,28,Thammasat University
Pakkaporn Pattrapornnan,A5017070939,3,19,University of Washington
Wanna Chaijareonkul,A5017195566,3,21,Thammasat University
Le Thi Diem Thuy,A5017306336,3,33,Thammasat University
Tanat Jiravansirikul,A5017404230,3,7,Thammasat University
Jaiboonya Jaicharoensub,A5017412906,3,7,Thammasat University
Yukti Mukdawijitra,A5017654360,3,2,Thammasat University
Malee Suntikunaporn,A5017689257,3,6,Thammasat University
C Sattaponpan,A5017976858,3,8,Thammasat University
Sichon Koowuttayakorn,A5018041543,3,18,Thammasat University
Sarun Pacharapakornpong,A5018347829,3,22,Siriraj Hospital
M.L. Pinitbhand Paribatra,A5018474759,3,0,Thammasat University
Yot Tanariyakul,A5018504824,3,19,Thammasat University
Kasama Supanaranond,A5018586853,3,53,Thammasat University
Sangduen Sumransurp,A5018875149,3,60,Thammasat University
Thanasak Yakampor,A5018939850,3,54,Burapha University
Bundit Limmeechockchai,A5019117655,3,16,Thammasat University
Jirapat Longkul,A5019382115,3,25,Thammasat University
Madtika Fungkrajai,A5020208530,3,70,Thammasat University
Minhui Bao,A5020528709,3,67,Thammasat University
Jirataya Pansuk,A5020654238,3,184,Thammasat University
Kristoffer Clyde Magsino,A5020719115,3,11,Thammasat University
ชลดา โกพัฒตา,A5020917581,3,0,Thammasat University
Thaned Heyprakhon,A5021120932,3,3,Thammasat University
Siripa Jittjang,A5021306226,3,15,Assumption University
Netraya Nimpitakpong,A5021331497,3,23,Thammasat University
Nawin Somyat,A5021492282,3,17,Thammasat University
Adisai Chaiwuttisak,A5021619883,3,41,Thammasat University
Tattep Techopittayakul,A5021839638,3,27,Thammasat University
Pailin Puagprakong,A5021941225,3,2,Thammasat University
Kanyarat Sittipummongkol,A5022177274,3,51,Thammasat University
อดิศักดิ์ ร่มพุฒตาล,A5022304966,3,0,Thammasat University
Natha Hungspreug,A5022327849,3,10,Thammasat University
Supachara Kongnuan,A5022568828,3,2,Thammasat University
Onicha Meangbua,A5022596413,3,58,Asian Institute of Technology
Jinda Sae-Jung,A5022596852,3,10,Thammasat University
Bhuminan Piyathasanan,A5022988017,3,108,Thammasat University
Thanaporn Srisunakrua,A5023106078,3,12,Thammasat University
Pongjarat Nunanun,A5023168389,3,25,Thammasat University
Prachya Boonprasurt,A5023247432,3,10,Thammasat University
S. Boonhao,A5023510479,3,13,Thammasat University
A. Yaemsuk,A5023572701,3,58,Thammasat University
Punyavee Srikirin,A5023598267,3,14,Ministry of Public Health
Todsaphon Pimrat,A5023607838,3,2,Thammasat University
Sudajai Lowanichchai,A5023674769,3,28,Nakhon Ratchasima Rajabhat University
Suparinya Sumpuntharat,A5023760283,3,3,Thammasat University
Papawee Sookdee,A5023901918,3,69,Thammasat University
Hathaichanok Chawmungkrung,A5023935509,3,1,Thammasat University
Nuntarat Sringkarin,A5023955336,3,95,Thammasat University
Weerayut Thowprasert,A5023980176,3,13,Thammasat University Hospital
Than Htun Win,A5023986292,3,0,Thammasat University
Sassinuch Rujanavech,A5024071696,3,5,Thammasat University
Chittra Roungroongsom,A5024169189,3,9,King Mongkut's Institute of Technology Ladkrabang
M. Achariyakul,A5024466978,3,31,Mahidol University
Araya Sammor,A5024498941,3,15,Thammasat University
Kevalin Vongthoung,A5024527187,3,4,Mahidol University
Jutharat Saengsawang,A5024805473,3,9,Thammasat University
Nattariya Vorravanpreecha,A5024811498,3,54,Thammasat University
S. Thanabhorn,A5024819499,3,105,Thammasat University
Patchayaporn Doungkom,A5025189799,3,20,Thammasat University
Pasistha Termworasin,A5025387522,3,3,Thammasat University
Lauritz Schiller,A5025816510,3,22,Thammasat University
Tanyawan Chaidarun,A5025838087,3,3,Dartmouth–Hitchcock Medical Center
Chayanon Serttikul,A5026184005,3,3,Thammasat University
Achiraya Kamchansuppasin,A5026352855,3,18,Thammasat University
Chantanee Charoensri,A5026399389,3,3,Thammasat University
Satirajit Paripoonyo,A5026568869,3,0,Thammasat University
Seksan Kukreja,A5026665089,3,2,Thammasat University
Huynh Tan Phong,A5026665573,3,20,Vietnam National University Ho Chi Minh City
Krittiya Ongwuttiwat,A5026705591,3,15,Princess of Naradhiwas University
Atiya Rungjang,A5027346606,3,12,Thammasat University
Thaweesakdhi Suvagondha,A5027720791,3,0,Thammasat University
Nantawan Chuarayapratib,A5028309872,3,0,Thammasat University
Papimol Kongsri,A5028580152,3,13,Thammasat University
Juthapa Pongklaokam,A5028655883,3,10,Thammasat University
Tuang Dheandhanoo,A5028738977,3,12,Thammasat University
Thorn Pitidol,A5028982611,3,20,Thammasat University
Pornpat A. Dharmasaroja,A5029081515,3,36,Mahidol University
Thanasan Tanhermhong,A5029203437,3,50,Thammasat University
Seri Wongmontha,A5029315679,3,49,University of Phayao
Supasit Tantiwong,A5029467807,3,10,Thammasat University
สุนทรี สุวรรณสิชณน์,A5029586828,3,0,Thammasat University
Vachiraporn Khayun,A5029631434,3,58,Thammasat University
Arthessarat Sirisa-Ard,A5029756542,3,11,Chulalongkorn University
Waralee Aksornchindarat,A5029970726,3,10,Thammasat University
Titiporn Siriphant,A5030424240,3,4,Thammasat University
Teerawat Wongyat,A5030777583,3,50,Thammasat University
Paopat Ratpunpairoj,A5030844852,3,0,Thammasat University
Suangsamorn Nurung,A5030869048,3,12,Thammasat University
Chanakarn Kingkaew,A5031229269,3,22,Thammasat University
Lili Shiao Yang,A5031339857,3,60,Illinois College
Sasinuch Rujanavej,A5031529378,3,43,Thammasat University
Soknath Mil,A5031911202,3,35,Thammasat University
Saranya Thongsook,A5032088675,3,5,Thammasat University
Kittipong Keativipak,A5032135400,3,8,Thammasat University
Dulyapak Preecharushh,A5032267209,3,27,Thammasat University
Suphaket Saentaweesuk,A5032360122,3,41,Thammasat University
Uten Sutin,A5032605117,3,1,Thammasat University
Sikarin Masamran,A5032750871,3,15,Thammasat University
Nonglak Rungruang,A5032772706,3,58,Thammasat University
Piyanuch Wiriyaenawat,A5032860170,3,0,Thammasat University
Manatsanan Trakulruangroj,A5032944398,3,109,Thammasat University
Rapeepat Uporn,A5033095675,3,2,Thammasat University
Piyaporn Sitkulanan,A5033355581,3,1,Thammasat University
Sittikorn Chancharoenrith,A5033392859,3,25,Thammasat University
Apisit Prokaew,A5033502261,3,74,Thammasat University
Thitimonrat Duangchanda,A5033559027,3,5,Thammasat University
Benjamas KLAYKRUAYAT,A5033719756,3,4,Thammasat University
Suthiya Anumas Anumas,A5033720131,3,0,Thammasat University
Santiphong Klayborworn,A5033750438,3,44,Thammasat University
Komwut Wipusitwarkun,A5033769180,3,7,Thammasat University
Apichaya Traithan,A5033814479,3,5,Thammasat University
Pornpong Luxamesathaporn,A5033840180,3,5,Thammasat University
Savanit Ongroongruang,A5033857661,3,15,Thammasat University
Thirapat Vivattanasirisak,A5034011213,3,45,Thammasat University
Teerayut Kanchanasangtong,A5034208925,3,3,Rajamangala University of Technology Isan
Thananon Buathong,A5034268516,3,19,Thammasat University
Anuphon Kaewmaneewat,A5034581698,3,35,Vidyasirimedhi Institute of Science and Technology
Nirandorn Tongaroon,A5034694233,3,8,Thammasat University
Chonticha Sriparkdee,A5034981723,3,47,McGill University
Wasinee Wannasiri,A5035145734,3,115,Thammasat University
Nitaya Tanuwong,A5035212671,3,1,Thammasat University
Pimprae Pengpis,A5035304607,3,21,Pediatrics and Genetics
Thanichaya Reanpinyawat,A5035587742,3,3,Thammasat University
Walaiporn Hongrojjanawiwat,A5035619229,3,546,Thammasat University
Tipawadee Emavardhana,A5035724660,3,190,Thammasat University
K. Thongchai,A5035743767,3,141,Thammasat University
Muhammad Maulana Iberahim,A5036700988,3,4,Thammasat University
Pattra Mettasittigorn,A5036857550,3,6,Royal Victoria Regional Health Centre
Aphichartsuphapkhajorn Therdkiat,A5036904139,3,6,Thammasat University
Pongsaya Pumipatyothin,A5037040208,3,22,Thammasat University
Paphana Yiwsiw,A5037283588,3,21,Thammasat University
Pornprom Ateetanan,A5037628586,3,13,Thammasat University
Kanchana Crishan Wickramatunge,A5037820114,3,188,Thammasat University
K. Na-Bangchang,A5037872180,3,116,Thammasat University
Piyakarn Supanchanaburee,A5037921324,3,0,Thammasat University
Sasithon Romsaiyut,A5038113811,3,102,Thammasat University
จุฑาศินี ธัญปราณีตกุล,A5038466737,3,0,Thammasat University
Tipok Vivattanasarn,A5038554453,3,320,Thammasat University
Nathaphon Jirasakulsuk,A5038758005,3,33,Thammasat University
Rangsit Campus,A5038982871,3,36,Thammasat University
Sakuntala Uttama,A5039051808,3,9,Thammasat University
Tanakon Sawanglok,A5039486683,3,6,Thammasat University
เวคิน นพนิตย์,A5039545972,3,0,Thammasat University
Sittan Aimprasittichai,A5039676282,3,6,Chulabhorn Hospital
Montira Yingvilasprasert,A5039828709,3,2,Thammasat University
Phakhawat Sarakit,A5039839121,3,60,Thammasat University
Wanalada Thongbai,A5040025461,3,15,Chiang Mai University
Namfon Mahasup,A5040234877,3,28,Thammasat University
Athikhun Sriprai,A5040301007,3,105,Thammasat University
Rawitawan Sophonpanich,A5040390951,3,0,Thammasat University
Suphakit Arphavasin,A5040415747,3,49,Thammasat University
Angkana Jirarode,A5040541008,3,2,Thammasat University
Pinai Nanakorn,A5040579175,3,1,University of Bristol
Teerapat Muangto,A5040755526,3,30,Thammasat University Hospital
Paopanga Monthanpisut,A5040842153,3,50,Thammasat University
Atchanat Wangsom,A5040882050,3,16,Thammasat University
Kanokkarn Chupisanyarote,A5040950412,3,13,Thammasat University
Atisthan Wuttimanop,A5041199088,3,2,Thammasat University
Patcharapun Sarisuta,A5041205698,3,4,Thammasat University
S Sayompark,A5041484389,3,16,Thammasat University
Phongpan Tantipoon,A5041625579,3,5,University of Dundee
Supaporn Pumpa,A5041850974,3,52,Thammasat University Hospital
Pattranit Liu,A5041929573,3,1,Thammasat University
Woothisarn Tanchai,A5042827971,3,0,Thammasat University
Pitchaya Saetan,A5042890233,3,6,Asian Institute of Technology
Arpharatsami Namanee,A5042963445,3,2,Thammasat University
Kwanluck Thiwa-anont,A5043445496,3,91,Thammasat University
Rangsiman Soonthornchaiva,A5043613110,3,3,Thammasat University
Tasanee Sirikul,A5043642663,3,108,Mahidol University
Worasak Prarokijjak,A5043725745,3,9,Kasetsart University
Chacrit Sitdhiwej,A5044025802,3,9,The University of Adelaide
Yosananda Chantravekin,A5044064742,3,20,Thammasat University
Pinn Siraprapasiri,A5044437104,3,1,Thammasat University
Virawat Luangchana,A5044700672,3,2,Thammasat University
Pattra Wisarnsirirak,A5044767591,3,0,Siriraj Hospital
Nuttakit Kijshevavithaya,A5044809144,3,1,Thammasat University
Sripathum Noom-ura,A5044838384,3,199,Thammasat University
Thanatcha Chaida,A5044949035,3,46,Thammasat University
J. Thummakriengkrai,A5045438139,3,48,Thammasat University
Peeranate Vanaroj,A5045542739,3,20,Thammasat University
Khosak Achawakorn,A5045762157,3,7,Thammasat University
Bunya Chea,A5046077444,3,4,Thammasat University
Arunee Tanvisuth,A5046084956,3,36,Thammasat University
Traidit Thianthanyakij,A5046150914,3,17,Huashan Hospital
Chanya Chomchoey,A5046349030,3,16,Thammasat University
Chun-Hung Liou,A5047096937,3,11,Thammasat University
Puwis Thiparpakul,A5047184873,3,5,Thammasat University
Siwanat Sukidpaneenid,A5047323398,3,75,Thammasat University
Tipawan Techanitiswad,A5047460317,3,100,Khon Kaen University
Sattra Thongma,A5047712207,3,19,Thammasat University
Pholasit Chamod,A5047880909,3,37,Thammasat University
Vimolchaya Yanasugondha,A5047911630,3,8,Thammasat University
Somsri Jamroenpinyo,A5048028194,3,3,Thammasat University
Roongtawan Laimek,A5048306415,3,10,Thammasat University
Pintusorn Suttiponpisarn,A5048337115,3,22,Thammasat University
Pumiwat Vacharapong,A5048453028,3,27,Thammasat University
Vimalin Sirikrai,A5048454791,3,29,Oregon State University
Chakraphong Lorsuwansiri,A5049099738,3,75,Thammasat University
Palden Wangyel Dorji,A5049106920,3,142,Royal University of Bhutan
Supasawad Chardchawarn,A5049217015,3,16,Thammasat University
Metar Siriwattanasatorn,A5049297983,3,30,Rajamangala University of Technology
Boonwiset Seaho,A5049740269,3,12,Thammasat University
Aroonwan Suebsriwichai,A5049813681,3,5,Thammasat University
Wanna Chaicharoenkul,A5050128768,3,9,Thammasat University
Wiriya Inphen,A5050368707,3,2,University of Jyväskylä
Supakit Prueksaaroon,A5050382942,3,7,King Mongkut's University of Technology North Bangkok
วนภัทร์ แสงแก้ว,A5050403118,3,0,Thammasat University
Surapong Srisomboon,A5050481998,3,37,Thammasat University
Soawapot Sarampakhul,A5050834073,3,19,Mahidol University
Thiti Nuamcherm,A5051052930,3,9,Thammasat University
P. Leekhaphan,A5051152061,3,14,Thammasat University
Ornuma Teparakul,A5051533776,3,6,Thammasat University
Jaran Maluleem,A5051552681,3,1,Thammasat University
Niti Ratanaprechavech,A5052327658,3,4,Thammasat University
Pipad Krajaejun,A5052342380,3,0,Thammasat University
Pimchanok Patanayindee,A5052385658,3,24,Thammasat University
Karndee Prichanont,A5052554226,3,22,Thammasat University
Thanachai Poombansao,A5052597779,3,1,Thammasat University
Nat Triamchaisri,A5052859885,3,22,Thammasat University
Panthip Sangprasert,A5052938471,3,21,Thammasat University
Thosapol Ueamsaranworakul,A5052959837,3,59,Thammasat University Hospital
Warisara Lertcheewanan,A5053283406,3,32,Thammasat University
Wanarat Konisranukul,A5053365138,3,29,Thammasat University
Nalinee Tantuvanit,A5053435779,3,0,Thammasat University
Phichayanan Waiyanate,A5053649911,3,30,Thammasat University
Jarinphorn Pukkao,A5053687074,3,10,Thammasat University
Warumpa Suwannarat,A5053825069,3,2,Thammasat University
W. Cha-um,A5054099234,3,149,Thammasat University
D. Sakonlaya,A5054258640,3,3,Thammasat University
Sirinan Tremongkontip,A5054361155,3,2,Thammasat University
Tadsanai Jeenthong,A5054518249,3,31,Thammasat University
Orabudh Mayanondha,A5054737138,3,5,Thammasat University
Kitipat Chutichaiwirath,A5054775177,3,11,Thammasat University
Chonwarat Phattarapongdilok,A5054806798,3,0,Thammasat University
Nutchanat Nonsee,A5054970416,3,1,Maharat Nakhon Ratchasima Hospital
Karnchana Choomon,A5055035819,3,12,Thammasat University
Priatna Suheri,A5055144747,3,26,Thammasat University
Maniporn Pichaisak,A5055514087,3,8,Thammasat University
Pradya Prempaneerach,A5055796751,3,9,Thammasat University
Wanapat Sangkaew,A5056054533,3,0,Thammasat University
Pattawee Pongpisitkul,A5056175818,3,0,King Chulalongkorn Memorial Hospital
Chulanee Tantikulananta,A5056258354,3,1,Thammasat University
S. O. Maung,A5056595454,3,13,Thammasat University
Warnakulasooriya Umesh Ashen Lowe,A5056874159,3,9,Thammasat University
Boonyarit Uengtrakul,A5056906842,3,31,Thammasat University
Thunyalak Visanvetchakij,A5057155400,3,14,Thammasat University
Benjaphan Sommana,A5057227966,3,2,Thammasat University
K. Ruenearom,A5057280543,3,4,Thammasat University
Chung Hao Hsu,A5057313936,3,1,Thammasat University
ปิยะนุช วิริเยนะวัตร์,A5057426120,3,0,Thammasat University
สุนีย์ ลีลาพรพินิจ,A5057951215,3,0,Thammasat University
Noppamad Tangmanee,A5058327552,3,8,Kasetsart University
Nuttamon Srisamran,A5058412049,3,203,Thammasat University
โขมสี มีภักดี,A5058431494,3,0,Thammasat University
Buarattana Attachoo,A5058482024,3,10,Thammasat University
Wichit Supamethangkura,A5058545031,3,16,Thammasat University
Phatchira Thattanon,A5059095800,3,21,Thammasat University
Uravee Limpivest,A5059610066,3,12,Thammasat University
Suprawee Earn Asanasak,A5059860351,3,8,The University of Melbourne
Phoom Chumponanomakun,A5060000748,3,6,Thammasat University
Kanlaya Boonlha,A5060279080,3,0,Thammasat University
Moath Al Yahya,A5060309051,3,29,Queensland University of Technology
Atichat Preittigun,A5060380368,3,20,Thammasat University
Surasawadee Somnuk,A5060624571,3,25,Kasetsart University
Chalearmpong Pinupong,A5060841393,3,14,Mahidol University
Paiboon Bowornwattanadilok,A5060892404,3,0,Thammasat University
Ponsilp Zeekpudsa,A5060923375,3,89,Khon Kaen University
ธีรภัท ชัยพิพัฒน์,A5061225327,3,0,Thammasat University
Somkuan Rimsmutchai,A5061424348,3,3,Thammasat University
Titaporn Chaisin,A5061536861,3,24,Thammasat University
Pattaridaporn Saengpromma,A5061594975,3,33,Thammasat University
Surapoom Somwangthanaroj,A5061604966,3,30,Thammasat University
Atiya Rungjang,A5061950416,3,100,Thammasat University
Wanit Treeranurat,A5061959696,3,19,Chulalongkorn University
Phanuwat Boonsun,A5062085670,3,17,Thammasat University
Sudthasiri Siriviriyakul,A5062206762,3,3,University of York
Ratanachai Sombatsrisomboon,A5062278987,3,25,The University of Tokyo
Poomchai Punpairoj,A5062437829,3,16,Thammasat University
Kimseng Tieng,A5062624924,3,4,Thammasat University
Chada Phuegsilp,A5062627128,3,4,Thammasat University
Chorthip Viriya,A5062802166,3,15,Thammasat University
B. Sroysang,A5063036920,3,15,Thammasat University
Chonlada Kanbua,A5063302728,3,27,Thammasat University
Hoa Quynh Truong,A5063367301,3,15,Can Tho University
Thanyaporn Soontornthum,A5063491319,3,56,Thammasat University
Parinya Sonsaard,A5063565160,3,20,Electricity Generating Authority of Thailand
Juajan Wongpolganan,A5064632736,3,6,Thammasat University
สุธาสินี ปิยพสุนทรา,A5064864676,3,0,Thammasat University
Varisa Osatananda,A5064874435,3,14,Thammasat University
Thitiyaporn Phookum,A5064967640,3,20,Thammasat University
Apikhun Tunkor,A5065194192,3,3,Thammasat University
Shekhar Mahat,A5065621819,3,4,Thammasat University
Banthisa Somboon,A5065690470,3,3,Thammasat University
W Sriamonkitkul,A5065822573,3,10,Thammasat University
Onnicha Srivanich,A5065902747,3,0,Thammasat University
Tanachapa Jantalika,A5066013420,3,7,Thammasat University
Alita Chaladdee,A5066160587,3,8,Asian Institute of Technology
Somsak Rodloy,A5066319286,3,0,Thammasat University
Khanadech Worapaluk,A5066416079,3,20,Thammasat University
Pak Sriplienchan,A5066700497,3,54,Thammasat University
Suneerat Neancharoensuk,A5066724616,3,0,Thammasat University
Paphada Watcharapo,A5066754943,3,7,Thammasat University
Sengsuly Phoualavanh,A5066869003,3,13,Thammasat University
Pathomporn JUNBANG,A5066903929,3,17,Thammasat University
Lyheang Chhay,A5067299412,3,13,Thammasat University
Thanu Chartananondh,A5067842886,3,0,Thammasat University
Supanit Tangsangasaksri,A5067867881,3,1,Thammasat University
Yannik Mieruch,A5067886961,3,18,Thammasat University
Rapeepan Muangsri,A5067941291,3,38,Thammasat University
Possawat Rujiraphum,A5067945857,3,4,Thammasat University
Chanya Lueangwattana,A5068027568,3,19,Keio University
Sapphasak Chatchawan,A5068150187,3,1,Thammasat University
Panisa Vishuphong,A5068817167,3,14,Thammasat University
Charoenchai Lueang-on,A5069186872,3,9,Thammasat University
Pheemaphol Samornpitakul,A5069289712,3,2,Thammasat University
ธวัชชัย อ่อนจันทร์,A5069592651,3,0,Thammasat University
Kanthida Jangyubol,A5069601869,3,35,Thammasat University
Phurich Saengthong,A5069654646,3,5,Thammasat University
Sirikorn Rojthamarat,A5069687579,3,9,Thammasat University
Witchapong Sochu,A5069690074,3,12,Thammasat University
Amarit Sompong,A5069921200,3,0,Thammasat University
Pharuhat Tor-Udom,A5070030090,3,32,Thammasat University
Varodom Suksawaddi,A5070205097,3,2,Thammasat University
Seksan Suttisong,A5070352017,3,22,Thammasat University
Jeffrey Kramer,A5070546647,3,16,Thammasat University
Saharath Sanguanpong,A5070896230,3,2,Thammasat University
Worachat Churdchomjan,A5070959161,3,118,Thammasat University
Suviwat Jenvitchuwong,A5071228761,3,32,Thammasat University
Jirarat Pipatnarapong,A5071534304,3,4,Thammasat University
Pratin Pimsarn,A5071558521,3,3,Thammasat University
Sithichai Kunawathanakul,A5071714692,3,2,Thammasat University Hospital
Ganon Koompraphant,A5071722230,3,44,Thammasat University
Wilaiporn Kotbungkair,A5071729222,3,48,Thammasat University
Samanan Sudsa-ard,A5072220212,3,2,Thammasat University
Nawarat Apichainan,A5072301653,3,9,Faculty of Public Health
Mayuree Nirattharadorn,A5072800335,3,6,Thammasat University
Amnart Tangkiriphimarn,A5072921699,3,1,Thammasat University
N. Khummanee,A5072960502,3,19,Thammasat University
Natcha Petchdakul,A5073332422,3,1,Thammasat University
ตรีทศ เหล่าศิริหงษ์ทอง,A5073382522,3,0,Thammasat University
Phuwarin Namdang,A5073478964,3,24,Thammasat University
Phiyaphon Poonsuk,A5073646532,3,22,Thammasat University
Upendra Neupane,A5073779699,3,42,South Dakota State University
Papatsara Arsa,A5074082828,3,0,Chulalongkorn University
Kanoknan Suchao-in,A5074226397,3,78,Thammasat University
Sajee Sirikrai,A5074314906,3,105,Thammasat University
Nutthapong Kunla,A5074455384,3,8,King Mongkut's Institute of Technology Ladkrabang
Natapongkorn Pawanawichien,A5074517825,3,3,Thammasat University
Sutee Suksudaj,A5074724981,3,43,Thammasat University
Jedsadayoot Sak-aroonchai,A5075025251,3,2,Thammasat University
Puncharat Techawachirakul,A5075150528,3,31,Thammasat University
Vanlee Siriganjanavong,A5075204180,3,23,Thammasat University
Praotasna Sombune,A5075242292,3,39,Thammasat University
Nichamon Thongphat,A5075417340,3,5,Thammasat University
Surachet Thongchan,A5075586075,3,18,Thammasat University
Wanna Chacharoenkul,A5075715041,3,30,Thammasat University
ศิริจันทร์ เวสารัชศาต,A5075734196,3,0,Thammasat University
Surasak Srimongkolpi,A5075787253,3,1,Thammasat University Hospital
Thanapat Chaireongsirikul,A5075814526,3,76,Thammasat University
Surachet Wanna,A5075898276,3,22,Thammasat University
Pisinee Visuttiporn,A5075993468,3,10,Thammasat University
Tienake Phuapaiboon,A5076046084,3,17,Thammasat University
Opart Gomonwattanapanich,A5076082094,3,29,Sripatum University
Putri A. Sekartaji,A5076214296,3,67,Thammasat University
กัลยารัตน์ ภู่สุดแสวง,A5076264552,3,0,Men-Tsee-Khang
Maura Reap,A5076503000,3,12,Thammasat University
Sarina Pradhan Kasaju,A5076661549,3,17,Maastricht University
Somkiat Thoumsang,A5076873341,3,33,Thammasat University
Pornthep Khongchai,A5076920574,3,48,Thammasat University
Warangkana Deeprasertdamrong,A5077090474,3,3,Thammasat University
Yossawee Wangworawut,A5077155267,3,7,Stanford University
Chanokpon Yongyat,A5077169184,3,93,Thammasat University
Piyamas Lertnapakun,A5077231834,3,9,Silpakorn University
Chonrachai Ketworrachai,A5077430775,3,1,Assumption University
Manassanan Boonnavasin,A5077709441,3,2,Thammasat University
Rungnapa Thatphaiboon,A5077738875,3,3,Thammasat University
Sasikan Jongritthiporn,A5077880113,3,27,Thammasat University
Wipawee Konkamdee,A5078089260,3,124,Ubon Ratchathani University
Sang Dinh Ngo,A5078140789,3,94,Thammasat University
Ittiporn Piriyaniti,A5078461028,3,11,Thammasat University
Mahatana Poolgesorn,A5078516305,3,63,Thammasat University
Rungrote Rodjanadit,A5078595383,3,54,Thammasat University
Kamolwon Cha ume,A5078600006,3,14,Thammasat University
Wasana Sriprachya-anunt,A5078756907,3,15,Thammasat University
Napat Phumsiri,A5078768567,3,10,Thammasat University
Kongsatja Suwanapech,A5078791620,3,4,Thammasat University
Naruemol Tuenpakdee,A5078828497,3,36,Mahidol University
Jirantanin Rattanavarinchai,A5079008351,3,4,Thammasat University
Tanet Kato,A5079241153,3,10,Waseda University
Apiwat Yaprasert,A5079330513,3,16,University of Chicago
Kittisak Lohwanitchai,A5079603625,3,21,Thammasat University
Supawadee Seubsasana,A5079627526,3,23,Thammasat University
Pornthep Chutinantvarodom,A5079845318,3,34,Thammasat University
อมรเทพ จิรศักดิ์จํารูญศรี,A5079960774,3,1,Thammasat University
Sarit Chantasuban,A5080057410,3,10,Thammasat University
Chatchanan Pornpanit,A5080388056,3,60,Thammasat University Hospital
Kamontip Rasri,A5080394816,3,170,Mahidol University
Panit Wattanakoon,A5080539111,3,5,Thammasat University
Amaras Mathuros,A5080699811,3,47,Bangkokthonburi University
Dararat Suksasunee,A5080832455,3,43,Thammasat University
Supoj Kungwan,A5081258309,3,40,Thammasat University
Wanwadee Poonpoksin,A5081439406,3,3,Thammasat University
Noppadon Detsomboonrut,A5081476968,3,0,Thammasat University
Pornpongsaroj Phuwanat,A5082008447,3,54,Thammasat University
Wachiraporn Kettum,A5082057182,3,49,Thammasat University
Pongtep Na Nakorn,A5082221023,3,27,Hatyai Hospital
B. Somjinda,A5082457587,3,13,Thammasat University
Naruemon Aekkawatchai,A5082471304,3,17,King Mongkut's University of Technology Thonburi
Rafael Torquato Cruz,A5082507066,3,0,Thammasat University
Pongpisit Huyakorn,A5082942861,3,6,Bangkok University
Pongwat Poomchoompol,A5083094955,3,8,Thammasat University
Praj-ya Sungsomboon,A5083331048,3,38,Thammasat University
Ittipon Pasityothin,A5084279288,3,2,Thammasat University
Phassakorn Klinkwan,A5084308826,3,10,Huachiew Chalermprakiet University
Vilailak Tiyao,A5084500527,3,26,Thammasat University
Thongchai Phothong,A5084614612,3,0,Thammasat University
Seranee SRISUK,A5085071769,3,5,Thammasat University
Naphaklacha Pholanun,A5085141782,3,4,Thammasat University
Pun Thongmee,A5085186905,3,4,Thammasat University
T. Chotpradit,A5085251414,3,0,Thammasat University
Nuttawee Pengpom,A5085309425,3,9,Thammasat University
Warakorn Gulyanon,A5085345858,3,2,Thammasat University
Sirichan Vesarachasart,A5085416372,3,0,Thammasat University
Ukrit Jitropas,A5085519585,3,4,Thammasat University
Siriporn Srisawas,A5085836315,3,18,Virginia Tech
Mayurachat Kaewmanee,A5085972795,3,17,Thammasat University
Geley Peljor,A5086563384,3,2,Thammasat University
advisor Arunporn Itharat,A5086621646,3,1,Thammasat University
Nicha Kaewhawong,A5086872409,3,24,Thammasat University
Aekkaphod Liwattanakun,A5087724418,3,18,Thammasat University
Nichamon Chaianant,A5087802377,3,10,Thammasat University
Pimchanok Reakaukot,A5088101120,3,4,Thammasat University
San Choosang,A5088110574,3,13,Thammasat University
Phuphiphat Jaikaew,A5088507160,3,15,Thammasat University
Supara Chaopricha,A5088644089,3,6,Thammasat University
Lapatrada Numkham,A5088667102,3,0,Thammasat University
Suttikarn Panomchaivath,A5088814413,3,31,Innovative Research (United States)
Petchtharin Wongcharoen,A5088851707,3,15,Thammasat University
Jirasak Boonmak,A5089152075,3,20,Thammasat University
Siriluk Mongkonkerd,A5089734403,3,12,Ritsumeikan University
Wichai Pongwilai,A5089864895,3,0,Thammasat University
Kittipong Wattanasirisombat,A5089985951,3,1,Thammasat University
Jiraprabha Kimsunthorn,A5090115945,3,0,Thammasat University
Nitipong Pichetpan,A5090121890,3,60,The University of Sydney
Natthakit Singhanatkaisi,A5090531214,3,5,Thammasat University
